	prefix	input_text	target_text
0	translate assames to bodo	ইয়াৰ উপৰিও বহুতো ঔষধ কোম্পানীয়ে আপোনাৰ চিকিৎসক বা স্বাস্থ্যসেৱা প্ৰদানকাৰীৰ সৈতে কাম কৰি আৰ্তজনক বিনামূলীয়া ঔষধ যোগান ধৰিব।	लोगोसे, गोबां मुलि दोलोया जाय बेसेनगैयै मुलि नांनायफोरनो होनो नोंनि देहाफामगिरि एबा देहास्रि जोथोन जगायग्राजों मावगोन।
1	translate bodo to assames	लोगोसे, गोबां मुलि दोलोया जाय बेसेनगैयै मुलि नांनायफोरनो होनो नोंनि देहाफामगिरि एबा देहास्रि जोथोन जगायग्राजों मावगोन।	ইয়াৰ উপৰিও বহুতো ঔষধ কোম্পানীয়ে আপোনাৰ চিকিৎসক বা স্বাস্থ্যসেৱা প্ৰদানকাৰীৰ সৈতে কাম কৰি আৰ্তজনক বিনামূলীয়া ঔষধ যোগান ধৰিব।
2	translate assames to bodo	কৈশোৰে এটা সুস্থ প্ৰাপ্তবয়স্ক জীৱনৰ বাবে প্ৰস্তুতি চলোৱাৰ সুযোগৰ খিৰিকীক প্ৰতিনিধিত্ব কৰে।	जौमोन बैसोया दिन्थियो मोनसे सुजुगनि खिरखि मोनसे देहागोनां बैसोगोरा जिवनि थाखाय थियारि खालामनो।
3	translate bodo to assames	जौमोन बैसोया दिन्थियो मोनसे सुजुगनि खिरखि मोनसे देहागोनां बैसोगोरा जिवनि थाखाय थियारि खालामनो।	কৈশোৰে এটা সুস্থ প্ৰাপ্তবয়স্ক জীৱনৰ বাবে প্ৰস্তুতি চলোৱাৰ সুযোগৰ খিৰিকীক প্ৰতিনিধিত্ব কৰে।
4	translate assames to bodo	উপযুক্ত খাদ্য প্ৰদানৰ পদ্ধতিয়ে যত্ন লোৱা ব্যক্তিৰ সৈতে বন্ধন আৰু মানসিক-সামাজিক বিকাশক উদ্দীপিত কৰে।	आहार जाहोनो थिगयै सोलोंनाया जोथोनहोगिरि आरो सायख-ससिएल जौगानाय जों नांथाबनायखौ थुलुंगाहोयो।
5	translate bodo to assames	आहार जाहोनो थिगयै सोलोंनाया जोथोनहोगिरि आरो सायख-ससिएल जौगानाय जों नांथाबनायखौ थुलुंगाहोयो।	উপযুক্ত খাদ্য প্ৰদানৰ পদ্ধতিয়ে যত্ন লোৱা ব্যক্তিৰ সৈতে বন্ধন আৰু মানসিক-সামাজিক বিকাশক উদ্দীপিত কৰে।
6	translate assames to bodo	শিশুৰ মৃত্যুৰ হাৰৰ ব্যাখ্যাত সংক্ৰমণৰ লগতে খাদ্যাভ্যাসৰ কথাও বিবেচনা কৰাৰ গুৰুত্বৰ আৰু এটা উদাহৰণ হিচাপে গুৱেটামালাৰ চান্টা মাৰিয়া ক’কেৰ পৰা মাৰ্টৰেলৰ ৰোগৰ বয়সৰ প্ৰাদুৰ্ভাৱৰ ওপৰত পোৱা তথ্যসমূহ গুৰুত্বপূৰ্ণ।	खुदियानि थैनाय अनजिमा हारफोरनि बेखेवनाय, सानथा मारिया काउकिउनिफ्राय मारथरेल मोन्नायफोराव, सनदेरनाय आरो खाजानि गोनांथिखौ एसे बांसिन बिदिन्थि सान्ना नायनाय बायदियै, खिलुनाय लोमजानायनि बैसो-जाथाय सायाव गुयाथेमालाफोरा गोनां।
7	translate bodo to assames	खुदियानि थैनाय अनजिमा हारफोरनि बेखेवनाय, सानथा मारिया काउकिउनिफ्राय मारथरेल मोन्नायफोराव, सनदेरनाय आरो खाजानि गोनांथिखौ एसे बांसिन बिदिन्थि सान्ना नायनाय बायदियै, खिलुनाय लोमजानायनि बैसो-जाथाय सायाव गुयाथेमालाफोरा गोनां।	শিশুৰ মৃত্যুৰ হাৰৰ ব্যাখ্যাত সংক্ৰমণৰ লগতে খাদ্যাভ্যাসৰ কথাও বিবেচনা কৰাৰ গুৰুত্বৰ আৰু এটা উদাহৰণ হিচাপে গুৱেটামালাৰ চান্টা মাৰিয়া ক’কেৰ পৰা মাৰ্টৰেলৰ ৰোগৰ বয়সৰ প্ৰাদুৰ্ভাৱৰ ওপৰত পোৱা তথ্যসমূহ গুৰুত্বপূৰ্ণ।
8	translate assames to bodo	যিহেতু কিশোৰ-কিশোৰীসকলৰ মাজত সৰু ল’ৰা-ছোৱালীৰ তুলনাত নিউমোনিয়া আৰু গেষ্ট্ৰ’এণ্টেৰাইটিছৰ দৰে সংক্ৰমণৰ প্ৰাদুৰ্ভাৱ কম।	जेब्ला जौमोन बैसोहा उनदै गथ’जों रुजुनायाव जेरैहाय निउमनिया आरो गेसथ्रथेरिथिस रोखोमै सनदेरनायनि गोसारनाया खम।
9	translate bodo to assames	जेब्ला जौमोन बैसोहा उनदै गथ’जों रुजुनायाव जेरैहाय निउमनिया आरो गेसथ्रथेरिथिस रोखोमै सनदेरनायनि गोसारनाया खम।	যিহেতু কিশোৰ-কিশোৰীসকলৰ মাজত সৰু ল’ৰা-ছোৱালীৰ তুলনাত নিউমোনিয়া আৰু গেষ্ট্ৰ’এণ্টেৰাইটিছৰ দৰে সংক্ৰমণৰ প্ৰাদুৰ্ভাৱ কম।
10	translate assames to bodo	ইতিমধ্যে মৃত্যু আৰু ৰোগজনিত ৰোগৰ সম্পৰ্কত গুৰুত্ব দিয়াৰ দৰে বিভিন্ন বয়সৰ শিশুক পৃথকে পৃথকে চোৱাটো গুৰুত্বপূৰ্ণ আৰু সকলোকে একেলগে গোট খোৱাটো গুৰুত্বপূৰ্ণ নহয়।	जेब्ला सिगाङावनो दाथिनानै बुंखाबाय थैनायनि अनजिमा आरो जब्रा अबसथानि सोमोन्दोयाव, बियो गथफोरखौ गुबुन गुबुन बैसो-फारियाव आलादायै नायनो आरो बिसोरखौ गासै ज’ दोलो खालामैया गोनां।
11	translate bodo to assames	जेब्ला सिगाङावनो दाथिनानै बुंखाबाय थैनायनि अनजिमा आरो जब्रा अबसथानि सोमोन्दोयाव, बियो गथफोरखौ गुबुन गुबुन बैसो-फारियाव आलादायै नायनो आरो बिसोरखौ गासै ज’ दोलो खालामैया गोनां।	ইতিমধ্যে মৃত্যু আৰু ৰোগজনিত ৰোগৰ সম্পৰ্কত গুৰুত্ব দিয়াৰ দৰে বিভিন্ন বয়সৰ শিশুক পৃথকে পৃথকে চোৱাটো গুৰুত্বপূৰ্ণ আৰু সকলোকে একেলগে গোট খোৱাটো গুৰুত্বপূৰ্ণ নহয়।
12	translate assames to bodo	জেলিফ আৰু জেলিফে শেহতীয়াকৈ কোৱাৰ দৰে কেতিয়াবা বৈজ্ঞানিক অনুসন্ধানৰ ওপৰত বাধ্যতামূলক জোৰ দিলে স্পষ্ট কথাৰ প্ৰমাণ পোৱাত বিলম্ব হ’ব পাৰে আৰু তেনেকৈয়ে প্ৰয়োজনীয় প্ৰতিৰোধমূলক ব্যৱস্থা প্ৰৱৰ্তনত বাধাৰ সৃষ্টি কৰিব পাৰে।	जेब्ला जेल्लिफ आरो जेल्लिफा बावैसोनो फोरमायखाबाय, माब्लाबा माब्लाबा गोनोखोआरि नायबिजिरनाय सायाव ऐगारहायै नारसिन्नाया नुसारनायनि फोरमानखौ दोनथ’नो हायो आरो बिबदियै गोनां होबथाग्रा राहानि सिनायथिखौ हेंथा होयो।
13	translate bodo to assames	जेब्ला जेल्लिफ आरो जेल्लिफा बावैसोनो फोरमायखाबाय, माब्लाबा माब्लाबा गोनोखोआरि नायबिजिरनाय सायाव ऐगारहायै नारसिन्नाया नुसारनायनि फोरमानखौ दोनथ’नो हायो आरो बिबदियै गोनां होबथाग्रा राहानि सिनायथिखौ हेंथा होयो।	জেলিফ আৰু জেলিফে শেহতীয়াকৈ কোৱাৰ দৰে কেতিয়াবা বৈজ্ঞানিক অনুসন্ধানৰ ওপৰত বাধ্যতামূলক জোৰ দিলে স্পষ্ট কথাৰ প্ৰমাণ পোৱাত বিলম্ব হ’ব পাৰে আৰু তেনেকৈয়ে প্ৰয়োজনীয় প্ৰতিৰোধমূলক ব্যৱস্থা প্ৰৱৰ্তনত বাধাৰ সৃষ্টি কৰিব পাৰে।
14	translate assames to bodo	মূল্যায়নৰ মাপকাঠীসমূহ সুবিধাজনকভাৱে চাৰিটা শিৰোনামৰ অধীনত আলোচনা কৰিব পাৰি:, ৰোগ, বৃদ্ধি, আৰু শেষত, কাৰ্য্যক্ষম ক্ষমতাৰ ওপৰত ভিত্তি কৰি সূচকাংক।	हिसाब बिजिरनायनि नेमा खाबु नायनानै मोनब्रै लिरबिदां मुंनि बायदियै सावरायलायजागोन: थैनायनि अनजिमा, जब्रा अबस्था, देरनाय, आरो जोबथारनायाव नाइखां फोरि।
15	translate bodo to assames	हिसाब बिजिरनायनि नेमा खाबु नायनानै मोनब्रै लिरबिदां मुंनि बायदियै सावरायलायजागोन: थैनायनि अनजिमा, जब्रा अबस्था, देरनाय, आरो जोबथारनायाव नाइखां फोरि।	মূল্যায়নৰ মাপকাঠীসমূহ সুবিধাজনকভাৱে চাৰিটা শিৰোনামৰ অধীনত আলোচনা কৰিব পাৰি:, ৰোগ, বৃদ্ধি, আৰু শেষত, কাৰ্য্যক্ষম ক্ষমতাৰ ওপৰত ভিত্তি কৰি সূচকাংক।
16	translate assames to bodo	কোষ্টা ৰিকাত মাটা আৰু নাইজেৰিয়াৰ টমকিন্স দুয়োজনেই দেখুৱাইছে যে অপুষ্টিকৰ ব্যক্তিৰ ক্ষেত্ৰত সংক্ৰমণৰ সময়সীমা বহু বেছি হয়, যদিও সুপুষ্টিকৰ ব্যক্তিৰ তুলনাত বহু বেছি হয়, যদিও এপিচ’ডৰ সংখ্যা বহুত একে হ’ব পাৰে।	खसथा रिखायाव माथा आरो निगेरियाव थमखिन्स मोन्नैयाबो दिन्थिबायदि गाहाम नरिस्थनिफ्राय मेल नरिस्थ सुबुंनाव सनदेरजानाय समा गोबाङैनो गोलावसिन जासेयावबो जाथायफारिनि अनजिमाया जोबोरै रोखोमसे जानो हागौमोन।
17	translate bodo to assames	खसथा रिखायाव माथा आरो निगेरियाव थमखिन्स मोन्नैयाबो दिन्थिबायदि गाहाम नरिस्थनिफ्राय मेल नरिस्थ सुबुंनाव सनदेरजानाय समा गोबाङैनो गोलावसिन जासेयावबो जाथायफारिनि अनजिमाया जोबोरै रोखोमसे जानो हागौमोन।	কোষ্টা ৰিকাত মাটা আৰু নাইজেৰিয়াৰ টমকিন্স দুয়োজনেই দেখুৱাইছে যে অপুষ্টিকৰ ব্যক্তিৰ ক্ষেত্ৰত সংক্ৰমণৰ সময়সীমা বহু বেছি হয়, যদিও সুপুষ্টিকৰ ব্যক্তিৰ তুলনাত বহু বেছি হয়, যদিও এপিচ’ডৰ সংখ্যা বহুত একে হ’ব পাৰে।
18	translate assames to bodo	শিশুসকলক অসুস্থতাৰ পৰা ৰক্ষা কৰিবলৈ আৰু বৃদ্ধি আৰু বিকাশৰ বাবে যত্নশীল, সুৰক্ষামূলক পৰিৱেশ আৰু পুষ্টিকৰ খাদ্য আৰু মৌলিক স্বাস্থ্যসেৱাৰ অধিকাৰ আছে।	गथ’फोरहा एसे अन्नाय, खैफोद गैयै आबहावा आरो नीथ्रिसियास आदारनि आरो गुबै देहास्रि जोथोननि मोन्थाय दं, बिसोरखौ लोमजानायनिफ्राय रैखा आरो देरनो आरो दावगानो थुलुंगानो।
19	translate bodo to assames	गथ’फोरहा एसे अन्नाय, खैफोद गैयै आबहावा आरो नीथ्रिसियास आदारनि आरो गुबै देहास्रि जोथोननि मोन्थाय दं, बिसोरखौ लोमजानायनिफ्राय रैखा आरो देरनो आरो दावगानो थुलुंगानो।	শিশুসকলক অসুস্থতাৰ পৰা ৰক্ষা কৰিবলৈ আৰু বৃদ্ধি আৰু বিকাশৰ বাবে যত্নশীল, সুৰক্ষামূলক পৰিৱেশ আৰু পুষ্টিকৰ খাদ্য আৰু মৌলিক স্বাস্থ্যসেৱাৰ অধিকাৰ আছে।
20	translate assames to bodo	যিসকল শিশুৱে সঘনাই তীব্ৰ ঘটনাৰ অভিজ্ঞতা লাভ কৰে, বা নিৰন্তৰ থাকে, তেওঁলোকৰ কম বা চুটি খণ্ড অনুভৱ কৰা শিশুৰ তুলনাত অপুষ্টিগ্ৰস্ত হোৱাৰ সম্ভাৱনা অধিক।	खिलुनायनि ऐसे एबा खम जाथायफारि भुगिनाय गथफोरनिफ्राय जाय गथ’फोरा गोब्राब खिलुनायनि एबा खिलुबाय थाग्रा खनले-खनले जाथायफारि भुगियो, खम नरिस्थ जानायनि बांसिन जाथावथाव।
21	translate bodo to assames	खिलुनायनि ऐसे एबा खम जाथायफारि भुगिनाय गथफोरनिफ्राय जाय गथ’फोरा गोब्राब खिलुनायनि एबा खिलुबाय थाग्रा खनले-खनले जाथायफारि भुगियो, खम नरिस्थ जानायनि बांसिन जाथावथाव।	যিসকল শিশুৱে সঘনাই তীব্ৰ ঘটনাৰ অভিজ্ঞতা লাভ কৰে, বা নিৰন্তৰ থাকে, তেওঁলোকৰ কম বা চুটি খণ্ড অনুভৱ কৰা শিশুৰ তুলনাত অপুষ্টিগ্ৰস্ত হোৱাৰ সম্ভাৱনা অধিক।
22	translate assames to bodo	গুৰুতৰভাৱে অপচয় হোৱা আৰু অৱৰুদ্ধ হোৱা শিশুৰ হাৰ অতি উচ্চ আছিল, কিন্তু মজলীয়া ডিগ্ৰী ষ্টাণ্টিংয়ে কোনো অতিৰিক্ত বিপদাশংকা বহন কৰা নাছিল।	जाय गथफोरा गोब्राबै मेंग्लिनाय आरो देरनो रोङैमोन, थैनायनि अनजिमाया जेबोद गोबां, नाथाय देरनो रोङैनि गेजेर जखाया जेबो बांद्राय बिबान गैयामोन।
23	translate bodo to assames	जाय गथफोरा गोब्राबै मेंग्लिनाय आरो देरनो रोङैमोन, थैनायनि अनजिमाया जेबोद गोबां, नाथाय देरनो रोङैनि गेजेर जखाया जेबो बांद्राय बिबान गैयामोन।	গুৰুতৰভাৱে অপচয় হোৱা আৰু অৱৰুদ্ধ হোৱা শিশুৰ হাৰ অতি উচ্চ আছিল, কিন্তু মজলীয়া ডিগ্ৰী ষ্টাণ্টিংয়ে কোনো অতিৰিক্ত বিপদাশংকা বহন কৰা নাছিল।
24	translate assames to bodo	ফলস্বৰূপে অতিৰিক্ত বিপদাশংকা প্ৰশংসনীয় হোৱা সীমা বা কাট-অফ বিন্দুবয়সৰ সৈতে পৃথক হয়।	जाउन महरै, जेराव थाखो एबा बाथ्रा दानसनाया बैसोजों हिसाबै बांद्राय बिबाना थोजासे।
25	translate bodo to assames	जाउन महरै, जेराव थाखो एबा बाथ्रा दानसनाया बैसोजों हिसाबै बांद्राय बिबाना थोजासे।	ফলস্বৰূপে অতিৰিক্ত বিপদাশংকা প্ৰশংসনীয় হোৱা সীমা বা কাট-অফ বিন্দুবয়সৰ সৈতে পৃথক হয়।
26	translate assames to bodo	ইয়াৰ পৰা হোৱা মৃত্যুবোৰ, দৰাচলতে, সাধাৰণতে পুষ্টিহীনতাৰ সৈতে সম্পৰ্কিত।	गमामायैनो, खिलुनायनिफ्राय थैनायफोरा निउथ्रिसन खमजों सारासनस्रायै गोरोबनाय।
27	translate bodo to assames	गमामायैनो, खिलुनायनिफ्राय थैनायफोरा निउथ्रिसन खमजों सारासनस्रायै गोरोबनाय।	ইয়াৰ পৰা হোৱা মৃত্যুবোৰ, দৰাচলতে, সাধাৰণতে পুষ্টিহীনতাৰ সৈতে সম্পৰ্কিত।
28	translate assames to bodo	ডেমোগ্ৰাফাৰসকলে এই স্তৰৰ তথ্যক নৱজাতক আৰু শিশু মৃত্যুৰ বিষয়ে অধিক পৰম্পৰাগত মন্তব্যলৈ ৰূপান্তৰ কৰাৰ কৌশল বিকশিত কৰিছে।	सुबुं अनजिमा बिजिरग्राया खुदिया आरो गथ थैनायनि अनजिमानि सोमोन्दै बे फोरमायथिनि थाखोखौ गोबां गनायथिजानाय फोरमायनायफोर सिम सोलायनो थाखाय आरोंदायारिफोर जौगाबाय।
29	translate bodo to assames	सुबुं अनजिमा बिजिरग्राया खुदिया आरो गथ थैनायनि अनजिमानि सोमोन्दै बे फोरमायथिनि थाखोखौ गोबां गनायथिजानाय फोरमायनायफोर सिम सोलायनो थाखाय आरोंदायारिफोर जौगाबाय।	ডেমোগ্ৰাফাৰসকলে এই স্তৰৰ তথ্যক নৱজাতক আৰু শিশু মৃত্যুৰ বিষয়ে অধিক পৰম্পৰাগত মন্তব্যলৈ ৰূপান্তৰ কৰাৰ কৌশল বিকশিত কৰিছে।
30	translate assames to bodo	পুষ্টিহীনতাৰ এক গুৰুত্বপূৰ্ণ কাৰণ।	खिलुनाया खम निउथ्रिसननि मोनसे गोनां जाहोन।
31	translate bodo to assames	खिलुनाया खम निउथ्रिसननि मोनसे गोनां जाहोन।	পুষ্টিহীনতাৰ এক গুৰুত্বপূৰ্ণ কাৰণ।
32	translate assames to bodo	বাস্তৱত, তৰল আৰু ইলেক্ট্ৰলাইটৰ ভাৰসাম্যহীনতাৰ দৰে এক পুষ্টিজনিত ৰোগ, আৰু ৰোগটোৰ দুয়োটা দিশৰ চিকিৎসা নকৰালৈকে চিকিৎসা পৰ্যাপ্ত নহয়।	मोखथाङाव, खिलुनाया, मोनसे लावलाव आरो इलेकथ्रलाइथ समानथिगैयैनि मोनसे नीउथ्रिसोनेल बेराम ब्लाबो आरो बेरामनि फारनैबो नुथायफोरा फाहामजायागौमानि थेरेपिआ थोजासि नङा।
33	translate bodo to assames	मोखथाङाव, खिलुनाया, मोनसे लावलाव आरो इलेकथ्रलाइथ समानथिगैयैनि मोनसे नीउथ्रिसोनेल बेराम ब्लाबो आरो बेरामनि फारनैबो नुथायफोरा फाहामजायागौमानि थेरेपिआ थोजासि नङा।	বাস্তৱত, তৰল আৰু ইলেক্ট্ৰলাইটৰ ভাৰসাম্যহীনতাৰ দৰে এক পুষ্টিজনিত ৰোগ, আৰু ৰোগটোৰ দুয়োটা দিশৰ চিকিৎসা নকৰালৈকে চিকিৎসা পৰ্যাপ্ত নহয়।
34	translate assames to bodo	ঔষধ প্ৰেছক্ৰিপচন সহায় কাৰ্যসূচীয়ে নিম্ন-উপাৰ্জনৰ ব্যক্তি আৰু পৰিয়ালক বিনামূলীয়া বা কম ব্যয়ৰ ঔষধ প্ৰদান কৰে।	मुलै प्रेसख्रिसन हेफाजाब हाबाफारिफेरा गाहाय-आरजिनाय सुबुं आरो नखर फोरनो बेसेन गैयै एबा गाहाय-बेसेन मुलै होनाय जगायो।
35	translate bodo to assames	मुलै प्रेसख्रिसन हेफाजाब हाबाफारिफेरा गाहाय-आरजिनाय सुबुं आरो नखर फोरनो बेसेन गैयै एबा गाहाय-बेसेन मुलै होनाय जगायो।	ঔষধ প্ৰেছক্ৰিপচন সহায় কাৰ্যসূচীয়ে নিম্ন-উপাৰ্জনৰ ব্যক্তি আৰু পৰিয়ালক বিনামূলীয়া বা কম ব্যয়ৰ ঔষধ প্ৰদান কৰে।
36	translate assames to bodo	কৈশোৰৰ সময়ত, জীৱনৰ আগতে উদ্ভৱ হোৱা পুষ্টিগত সমস্যাবোৰ সম্ভাৱ্যভাৱে সংশোধন কৰিব পাৰি, বৰ্তমানৰ সমস্যাবোৰ সমাধান কৰাৰ উপৰিও।	जौमोनबैसो समाव, सिगां जिवाव  नीउथ्रिसनेल जेंना सोमजिनाया, लोगोयाव दानि आथिखाल सोमोनदो लानानै, गोहोयै फोसाबजाब जागोनय।
37	translate bodo to assames	जौमोनबैसो समाव, सिगां जिवाव  नीउथ्रिसनेल जेंना सोमजिनाया, लोगोयाव दानि आथिखाल सोमोनदो लानानै, गोहोयै फोसाबजाब जागोनय।	কৈশোৰৰ সময়ত, জীৱনৰ আগতে উদ্ভৱ হোৱা পুষ্টিগত সমস্যাবোৰ সম্ভাৱ্যভাৱে সংশোধন কৰিব পাৰি, বৰ্তমানৰ সমস্যাবোৰ সমাধান কৰাৰ উপৰিও।
38	translate assames to bodo	গৰ্ভাৱস্থাৰ সময়ত আটাইতকৈ প্ৰাসঙ্গিক নৃতাত্ত্বিক জোখ হৈছে ইয়াৰ পাঠ্যক্ৰমৰ সময়ত বৃদ্ধি হোৱা ওজনৰ পৰিমাণ।	गोरबोयाव थानाय समाव, बांसिन लोबबागोनां एनथ्रपमेथ्रिक जखाया, बेनि देरबोनाय समाव अजन बारायनायनि बिबां।
39	translate bodo to assames	गोरबोयाव थानाय समाव, बांसिन लोबबागोनां एनथ्रपमेथ्रिक जखाया, बेनि देरबोनाय समाव अजन बारायनायनि बिबां।	গৰ্ভাৱস্থাৰ সময়ত আটাইতকৈ প্ৰাসঙ্গিক নৃতাত্ত্বিক জোখ হৈছে ইয়াৰ পাঠ্যক্ৰমৰ সময়ত বৃদ্ধি হোৱা ওজনৰ পৰিমাণ।
40	translate assames to bodo	প্ৰতিটো খণ্ডৰ ফলত ওজন হ্ৰাস আৰু বিকাশ হ্ৰাস হ'ব পাৰে।	खिलुनायनि फोनफ्रामबो जाथाया अजन खमायनाय आरो देरनाय थाबथानाय सोमजिहोनो हायो।
41	translate bodo to assames	खिलुनायनि फोनफ्रामबो जाथाया अजन खमायनाय आरो देरनाय थाबथानाय सोमजिहोनो हायो।	প্ৰতিটো খণ্ডৰ ফলত ওজন হ্ৰাস আৰু বিকাশ হ্ৰাস হ'ব পাৰে।
42	translate assames to bodo	কেঁচুৱা আৰু সৰু শিশুৰ যত্ন লোৱাৰ বাবে খোৱাটো এক গুৰুত্বপূৰ্ণ দিশ।	आहार जाहोनाया, गथ’ आरो उन्दै गथ’फोरनो  अन्नायनि मोनसे गोब्राब नुथायफोर।
43	translate bodo to assames	आहार जाहोनाया, गथ’ आरो उन्दै गथ’फोरनो  अन्नायनि मोनसे गोब्राब नुथायफोर।	কেঁচুৱা আৰু সৰু শিশুৰ যত্ন লোৱাৰ বাবে খোৱাটো এক গুৰুত্বপূৰ্ণ দিশ।
44	translate assames to bodo	ঘটনাৰ ওপৰত এক নিৰ্ভৰযোগ্য পৰীক্ষাৰ বাবে, কমেও প্ৰতি দুই সপ্তাহত জনসংখ্যাৰ নমুনাৰ ওপৰত পৰ্যৱেক্ষণ কৰিব লাগিব, আৰু যদি কাৰণটোও নিৰ্ধাৰণ কৰিব লাগে, ই এক অত্যন্ত দক্ষ আৰু দুৰ্ধৰ্ষ প্ৰতিশ্ৰুতি হৈ পৰে।	मोनसे फोथायजाथाव जाथाय सायाव  आनजाद नायनो, सुबुं अनजिमा बिदिनथि सायाव खमैब्लाबो फोनफ्रामबो नै हाबथाव गोसो होनानै नायनाया थारै गोनां खानायथारनांगोन, आरो जाहोनखौबो थि खालामनोब्ला बे मोनसे गोबाङैनो आखा-फाखा आरो गिलुबालु बिबान।
45	translate bodo to assames	मोनसे फोथायजाथाव जाथाय सायाव  आनजाद नायनो, सुबुं अनजिमा बिदिनथि सायाव खमैब्लाबो फोनफ्रामबो नै हाबथाव गोसो होनानै नायनाया थारै गोनां खानायथारनांगोन, आरो जाहोनखौबो थि खालामनोब्ला बे मोनसे गोबाङैनो आखा-फाखा आरो गिलुबालु बिबान।	ঘটনাৰ ওপৰত এক নিৰ্ভৰযোগ্য পৰীক্ষাৰ বাবে, কমেও প্ৰতি দুই সপ্তাহত জনসংখ্যাৰ নমুনাৰ ওপৰত পৰ্যৱেক্ষণ কৰিব লাগিব, আৰু যদি কাৰণটোও নিৰ্ধাৰণ কৰিব লাগে, ই এক অত্যন্ত দক্ষ আৰু দুৰ্ধৰ্ষ প্ৰতিশ্ৰুতি হৈ পৰে।
46	translate assames to bodo	বেছিভাগ শিশুৰ বাবে, খাদ্যৰ প্ৰৱেশাধিকাৰৰ অভাৱ পুষ্টিহীনতাৰ একমাত্ৰ কাৰণ নহয়।	गोबां गथफोरनि थाखाय, आदारखौ मोनजायैनि आंखालाल’ मेल नीउथ्रिसननि जाहोन नङा।
47	translate bodo to assames	गोबां गथफोरनि थाखाय, आदारखौ मोनजायैनि आंखालाल’ मेल नीउथ्रिसननि जाहोन नङा।	বেছিভাগ শিশুৰ বাবে, খাদ্যৰ প্ৰৱেশাধিকাৰৰ অভাৱ পুষ্টিহীনতাৰ একমাত্ৰ কাৰণ নহয়।
48	translate assames to bodo	যুক্তৰাজ্যৰ বাবে অনুমোদিত পৰিমাণ হৈছে 12.5 কিগ্ৰা (12), আৰু যদি জনসংখ্যাৰ বাবে গড় বৃদ্ধি 10 কিলোগ্ৰামৰ তললৈ হ্ৰাস হয় তেন্তে ইয়াক অবাঞ্ছিত বুলি গণ্য কৰা হ'ব।	इउनाइटेट राइजोनि थाखाय बोसोन होनाय बिबाङा 12.5 kg(12), आरो सुबुं अनजिमानि गेजेर बारायनाया 10 kg गाहाय गोगलैयोब्ला बेखौ गाहामनङै गनायनाय जागोन।
49	translate bodo to assames	इउनाइटेट राइजोनि थाखाय बोसोन होनाय बिबाङा 12.5 kg(12), आरो सुबुं अनजिमानि गेजेर बारायनाया 10 kg गाहाय गोगलैयोब्ला बेखौ गाहामनङै गनायनाय जागोन।	যুক্তৰাজ্যৰ বাবে অনুমোদিত পৰিমাণ হৈছে 12.5 কিগ্ৰা (12), আৰু যদি জনসংখ্যাৰ বাবে গড় বৃদ্ধি 10 কিলোগ্ৰামৰ তললৈ হ্ৰাস হয় তেন্তে ইয়াক অবাঞ্ছিত বুলি গণ্য কৰা হ'ব।
50	translate assames to bodo	বিনামূলীয়া চিকিৎসা/দন্ত ক্লিনিকে আপোনাক বিনামূলীয়া ক্লিনিকৰ বিষয়ে তথ্য প্ৰদান কৰে।	बेसेन गैयै मेदिकेल/हाथाय ख्लिनाकफोरा नोंखौ बेसेन गैयै ख्लिनाक सोमोन्दै फोरमायथिनायजों जगायो।
51	translate bodo to assames	बेसेन गैयै मेदिकेल/हाथाय ख्लिनाकफोरा नोंखौ बेसेन गैयै ख्लिनाक सोमोन्दै फोरमायथिनायजों जगायो।	বিনামূলীয়া চিকিৎসা/দন্ত ক্লিনিকে আপোনাক বিনামূলীয়া ক্লিনিকৰ বিষয়ে তথ্য প্ৰদান কৰে।
